task,n,k,threads,schedule,chunk,trial,time
A,100000,20,16,guided,4,2,0.016464
A,100000,20,16,guided,4,3,0.016470
A,100000,20,16,guided,4,4,0.016803
A,100000,20,16,guided,4,5,0.016375
A,100000,20,16,guided,16,1,0.013254
A,100000,20,16,guided,16,2,0.014871
A,100000,20,16,guided,16,3,0.016689
A,100000,20,16,guided,16,4,0.016319
A,100000,20,16,guided,16,5,0.014810
A,100000,20,16,guided,64,1,0.016931
A,100000,20,16,guided,64,2,0.019920
A,100000,20,16,guided,64,3,0.013724
A,100000,20,16,guided,64,4,0.016671
A,100000,20,16,guided,64,5,0.016833
A,100000,24,1,static,auto,1,0.397948
A,100000,24,1,static,auto,2,0.400536
A,100000,24,1,static,auto,3,0.397049
A,100000,24,1,static,auto,4,0.407131
A,100000,24,1,static,auto,5,0.416116
A,100000,24,1,dynamic,1,1,0.398500
A,100000,24,1,dynamic,1,2,0.399491
A,100000,24,1,dynamic,1,3,0.398504
A,100000,24,1,dynamic,1,4,0.398948
A,100000,24,1,dynamic,1,5,0.397913
A,100000,24,1,dynamic,4,1,0.394485
A,100000,24,1,dynamic,4,2,0.395783
A,100000,24,1,dynamic,4,3,0.399713
A,100000,24,1,dynamic,4,4,0.399571
A,100000,24,1,dynamic,4,5,0.396543
A,100000,24,1,dynamic,16,1,0.400725
A,100000,24,1,dynamic,16,2,0.394640
A,100000,24,1,dynamic,16,3,0.397302
A,100000,24,1,dynamic,16,4,0.396766
A,100000,24,1,dynamic,16,5,0.396783
A,100000,24,1,dynamic,64,1,0.394943
A,100000,24,1,dynamic,64,2,0.396433
A,100000,24,1,dynamic,64,3,0.396394
A,100000,24,1,dynamic,64,4,0.399004
A,100000,24,1,dynamic,64,5,0.397227
A,100000,24,1,guided,1,1,0.396809
A,100000,24,1,guided,1,2,0.395732
A,100000,24,1,guided,1,3,0.397601
A,100000,24,1,guided,1,4,0.396310
A,100000,24,1,guided,1,5,0.395155
A,100000,24,1,guided,4,1,0.397131
A,100000,24,1,guided,4,2,0.398303
A,100000,24,1,guided,4,3,0.399089
A,100000,24,1,guided,4,4,0.367206
A,100000,24,1,guided,4,5,0.365208
A,100000,24,1,guided,16,1,0.365808
A,100000,24,1,guided,16,2,0.367025
A,100000,24,1,guided,16,3,0.362974
A,100000,24,1,guided,16,4,0.365176
A,100000,24,1,guided,16,5,0.365262
A,100000,24,1,guided,64,1,0.365227
A,100000,24,1,guided,64,2,0.363670
A,100000,24,1,guided,64,3,0.366895
A,100000,24,1,guided,64,4,0.374924
A,100000,24,1,guided,64,5,0.364332
A,100000,24,2,static,auto,1,0.185624
A,100000,24,2,static,auto,2,0.189688
A,100000,24,2,static,auto,3,0.212001
A,100000,24,2,static,auto,4,0.189870
A,100000,24,2,static,auto,5,0.188186
A,100000,24,2,dynamic,1,1,0.183781
